#{"t_start": 1685739311.7708476, "env_id": null}
r,l,t
24835,84,695.051688
11154,47,695.125492
11315,48,695.201261
11315,48,695.274093
11315,48,695.347868
11315,48,695.423381
20265,88,695.556025
11315,48,695.62839
11315,48,695.701167
20265,88,695.831818
-636358573,32207,772.925282
11144,47,773.001081
13965,74,773.118765
-2028635212,57355,909.717865
11164,47,909.791667
11315,48,909.866441
36871,126,910.051945
20104,87,910.181628
62616,152,910.406026
11159,47,910.48182
42967,117,910.657327
25548,85,910.783018
11149,47,910.853959
18794,78,910.976638
11144,47,911.054424
11315,48,911.13119
11315,48,911.210007
20265,88,911.348609
11315,48,911.431389
11315,48,911.512201
-212887051,18992,956.148904
19525,76,956.28056
11149,47,956.362335
20265,88,958.352015
20265,88,958.487655
20265,88,958.619303
22015,74,958.733996
37323,164,958.981337
21132,76,959.09603
11149,47,959.171827
91057,315,959.643539
26850,73,959.762249
11149,47,959.836024
11315,48,959.917833
47213,111,960.096328
11144,47,960.173151
29983,146,960.405533
21559,75,960.529199
11144,47,960.60796
11315,48,960.685781
11315,48,960.766565
-60634443,10205,985.123067
20104,87,985.267681
27215,128,985.470136
32394,125,985.667618
11154,47,985.750364
20265,88,985.898994
20265,88,987.87341
11315,48,987.953193
38769,125,988.138698
11149,47,988.214467
20265,88,988.347321
22865,154,988.591971
43635,119,988.776508
11144,47,988.853301
43785,165,989.103604
40389,152,989.336011
11149,47,989.412778
11315,48,989.490571
-10686235,4524,999.887126
11149,47,999.974576
11315,48,1000.053869
24341,77,1000.178567
11149,47,1000.257354
16715,74,1000.38402
20094,87,1000.525609
38179,194,1002.687439
11149,47,1002.762239
11315,48,1002.837012
11315,48,1002.912808
11315,48,1002.989604
11315,48,1003.068392
-2427357536,62668,1150.857688
11149,47,1150.945451
27215,128,1151.145916
126863,609,1153.897408
42392,116,1154.072939
43685,156,1154.302298
23219,85,1154.431953
20104,87,1154.563628
11315,48,1154.639398
39840,125,1154.833878
47497,189,1155.113132
26868,112,1155.292058
26999,153,1155.528426
27044,127,1155.733877
25294,85,1155.870512
11154,47,1155.948306
11315,48,1156.030161
25895,84,1156.164801
44229,163,1156.417127
26545,74,1156.541765
