#{"t_start": 1685736041.1088688, "env_id": null}
r,l,t
36854,485,212.241194
11315,48,212.314029
-624272,1438,214.205396
11149,47,214.270693
11315,48,214.35048
20265,88,214.505097
36649,148,214.730069
38094,153,214.957064
-406,487,215.605062
79765,365,216.095124
11315,48,216.1665
11315,48,216.241301
11315,48,216.308153
11315,48,216.379001
207088,496,217.032284
27215,128,217.214861
11315,48,217.285672
-191041,1149,218.783331
11164,47,218.856773
11315,48,218.932014
31668,107,219.082788
11149,47,219.154599
32165,168,219.39359
-2418607,2352,222.497089
11149,47,222.572886
11315,48,222.650719
-135794,914,223.856277
34944,207,224.150524
11315,48,224.243833
11315,48,224.315642
58161,206,224.602936
11315,48,224.671319
11315,48,224.748109
83608,351,225.225777
11149,47,225.300115
20265,88,225.432609
63229,524,226.120693
75259,199,226.398518
11164,47,226.47135
-8597525,3966,231.778241
58325,174,232.029197
72536,199,232.311588
48888,165,232.54905
35899,247,232.893286
-615337,1275,234.618111
27049,127,234.796634
6141,680,235.705835
11144,47,235.774678
10065,48,235.8415
63097,444,236.43149
24837,85,236.554162
-13446,527,237.262224
87375,419,237.837253
11144,47,237.905071
38578,95,238.040708
226307,1145,239.60219
11164,47,239.668014
-64435,648,240.528778
18595,73,240.63506
27049,127,240.816136
11315,48,240.888942
27215,128,241.067465
60198,147,241.269926
11144,47,241.338739
11315,48,241.40955
66757,405,241.943679
34854,287,242.328175
11315,48,242.399548
11315,48,242.466369
11315,48,242.536184
159509,262,242.887244
11144,47,242.957063
11315,48,243.028867
11315,48,243.095687
11315,48,243.167496
20265,88,243.291709
76116,181,243.541127
11149,47,243.61094
11315,48,243.677762
11315,48,243.749602
11315,48,243.815991
11315,48,243.887799
11315,48,243.955618
11315,48,244.025432
64263,485,244.681939
20265,88,244.811586
18595,73,244.917334
11149,47,244.985153
11315,48,245.055999
33908,106,245.20061
27049,127,245.379083
9865,48,245.447464
55665,206,245.72672
35115,208,246.009961
11315,48,246.078776
11315,48,246.149588
39665,124,246.318699
11149,47,246.385521
69781,405,246.922285
11315,48,246.993092
-494085,1168,248.536395
32165,168,248.767344
-235,488,249.419599
11315,48,249.492404
11315,48,249.559228
57774,199,249.82754
93222,184,250.082023
25563,85,250.208219
97121,212,250.495958
11149,47,250.564774
-21866,595,251.360263
11315,48,251.434061
42788,100,251.590678
31288,552,252.346736
11144,47,252.413557
26915,368,252.92519
68360,475,253.57485
11149,47,253.643656
36065,248,253.979446
11315,48,254.050256
11315,48,254.116053
20265,88,254.24374
11315,48,254.314552
32585,115,254.478119
72172,358,254.961884
11144,47,255.028707
11315,48,255.097552
43239,147,255.304073
11149,47,255.377904
11315,48,255.44672
32165,168,255.676107
11315,48,255.74991
