#{"t_start": 1685734233.8941262, "env_id": null}
r,l,t
-13296712,5109,550.298974
11164,47,550.37676
11315,48,550.457515
53479,205,550.78367
81399,226,551.139261
38865,124,551.340754
19168,72,551.462466
28713,113,551.64904
27049,127,553.709868
9815,48,553.785641
11315,48,553.866453
11315,48,553.941257
32365,108,554.101797
31994,167,554.352185
20265,88,554.486854
11315,48,554.562623
11315,48,554.63748
25168,85,554.76969
38633,126,554.971279
30065,154,555.20762
11144,47,555.282419
53442,524,556.074268
11315,48,556.155298
66061,145,556.385535
25541,84,556.532254
26214,115,556.716612
11144,47,558.659827
11315,48,558.735598
48044,165,558.982966
24676,84,559.112622
20104,87,559.249249
116331,310,559.713578
11159,47,559.789349
11315,48,559.866202
11315,48,559.944964
11315,48,560.018796
20265,88,560.159929
11315,48,560.23772
11315,48,560.318504
20265,88,560.455136
11315,48,560.531906
78641,237,560.894936
32967,123,561.090441
73291,177,561.37132
11149,47,561.451104
-166747,1245,565.162169
31894,124,565.352659
34954,207,565.675796
11315,48,565.755585
20265,88,565.897206
11315,48,565.974996
21461,75,566.100692
-21698,1118,569.762377
-31702492,7598,588.775275
11149,47,588.855095
41899,147,589.083565
60939,136,589.306063
50061,163,589.565331
24705,85,589.70852
33929,107,589.888233
42330,164,590.144679
11154,47,590.236406
20265,88,590.381021
32165,168,590.648901
90575,237,591.018447
11149,47,591.100742
58056,266,591.520405
50067,144,591.764431
44649,163,593.90354
42190,120,594.096031
20094,87,594.23665
38695,116,594.41873
20099,87,594.565423
31079,146,594.801299
11149,47,594.882084
11315,48,594.966428
24783,79,595.104187
11144,47,595.187529
20265,88,595.3349
11315,48,595.415688
11315,48,595.500461
26115,84,595.638067
24910,85,595.791294
20104,87,595.942368
34307,353,596.488526
11149,47,596.576325
36871,126,596.784303
37731,124,596.990414
11154,47,597.076217
20265,88,599.123089
11315,48,599.205405
32394,125,599.403908
38423,125,599.594023
20265,88,599.734643
59771,198,600.04745
11149,47,600.130997
11315,48,600.214801
11315,48,600.298579
61656,587,601.191525
47272,164,601.456414
60606,196,601.767598
37490,107,601.94959
11144,47,602.027331
20265,88,602.182773
-576755,1551,606.388935
52263,161,606.660287
32928,124,606.873329
11149,47,606.964696
11315,48,607.051545
11315,48,607.138881
20265,88,607.292261
26229,114,609.387096
31999,167,609.643977
27215,128,609.850935
11315,48,609.93371
42779,114,610.11024
20099,87,610.24744
32706,125,610.448421
60771,192,610.752832
31999,167,611.022361
11315,48,611.109585
25867,85,611.252204
11149,47,611.337038
20265,88,611.487201
13865,74,611.617908
21122,76,611.750552
36741,110,611.939613
25685,83,612.078951
74526,278,612.511399
148754,373,614.965872
36948,125,615.161855
20104,87,615.305472
27215,128,615.505965
20265,88,615.647651
11315,48,615.728973
11315,48,615.80879
11315,48,615.889612
30519,106,616.062149
32331,101,616.234689
11144,47,616.317439
-16171033,5710,630.583979
54985,206,630.898819
63810,182,631.191673
31999,167,631.460157
27215,128,631.670668
20265,88,631.832263
25735,85,631.97887
25591,85,632.129974
80494,183,632.434776
11159,47,632.520576
20265,88,632.674267
40265,125,632.881852
11315,48,634.860888
51295,166,635.119261
96215,425,635.760301
38033,164,636.023659
57421,155,636.27558
26497,74,636.403778
48026,158,636.659736
47904,159,636.915735
27044,127,637.124301
25735,85,637.279685
11149,47,637.363006
27215,128,637.572984
25563,85,637.716235
78243,518,640.400905
26949,73,640.522578
27044,127,640.723015
55879,205,641.032269
43758,155,641.270885
11149,47,641.348741
27215,128,641.553359
77105,194,641.848741
11144,47,641.936536
32165,168,642.207837
112101,332,642.728851
-181779,993,646.12674
32889,124,646.326919
27049,127,646.521591
56506,143,646.740518
52589,205,647.059685
11315,48,647.14394
60120,139,647.37791
11149,47,647.466673
36065,248,647.86125
11315,48,647.948988
20265,88,648.102152
24878,85,648.248795
11154,47,648.340086
20265,88,650.348168
11315,48,650.42752
53006,180,650.704756
20094,87,650.845012
11315,48,650.925424
55641,157,651.1698
36328,232,651.526531
66599,182,651.817715
20094,87,651.963862
38111,165,652.227259
33599,193,652.532503
20094,87,652.685097
83584,258,653.091851
37223,156,653.346853
20099,87,653.496482
49470,214,655.695534
20099,87,655.840846
48288,165,656.099254
43178,119,656.289339
-5960161,3591,665.457862
