#{"t_start": 1685775315.2208188, "env_id": null}
r,l,t
-35124,166,140.817816
-287759,180,141.036237
-234479,243,141.320479
10649,47,141.386299
10815,48,141.448139
-772420,405,141.899024
10644,47,141.970834
-97882,190,142.199921
-1160229,510,142.769958
-668317,199,143.007323
10644,47,143.062176
-255589,301,143.412273
-3520600,833,144.358465
-62614,205,144.602812
-646,87,144.722057
-488285,328,145.092136
-31785,128,145.251305
-245685,248,145.541669
-173493,228,145.808948
42969,116,145.955555
14762,125,146.10715
18929,124,146.261737
10815,48,146.332113
-108820,100,146.481831
-91626,154,146.666398
-638166,401,147.119914
-77660,205,147.359276
-485,88,147.475963
-31785,128,147.629552
-1002185,448,148.128251
-485,88,148.232971
10815,48,148.299792
10815,48,148.362628
10815,48,148.423223
10815,48,148.483066
-742636,300,148.826127
-154551,207,149.072468
10815,48,149.138292
-485,88,149.247999
10815,48,149.307838
-26289,75,149.403583
10649,47,149.461428
-220519,194,149.68583
-158873,152,149.868937
10649,47,149.932771
-12965,165,150.125252
24740,85,150.235558
10654,47,150.293403
-28992,139,150.462052
-43024,154,150.64559
-651,87,150.756293
10815,48,150.821122
10815,48,150.881957
-48142,116,151.023579
10664,47,151.088405
10815,48,151.153235
12043,198,151.38165
-2446,156,151.562566
-656,87,151.681249
-485,88,151.789992
-28985,88,151.900666
-23764,73,151.996944
-61121,106,152.129591
-104500,205,152.363963
10815,48,152.430789
25257,86,152.537499
10649,47,152.599334
-485,88,152.711039
-485,88,152.821741
10815,48,152.883137
-31785,128,153.038753
-485,88,153.152268
10815,48,153.220085
-361971,246,153.511344
10649,47,153.564204
10815,48,153.626037
-1556226,584,154.271312
-943905,510,154.855808
25063,85,154.960076
41794,117,155.097807
-651,87,155.217024
25106,85,155.325762
26512,79,155.431481
-656,87,155.542183
10815,48,155.604019
10815,48,155.665853
-304674,193,155.889256
-651,87,156.005945
10815,48,156.064787
-22971,113,156.203449
10649,47,156.263288
45817,113,156.404941
16216,124,156.553682
10649,47,156.621161
-485,88,156.72847
10815,48,156.793329
-108873,196,157.030693
-216719,94,157.146384
-85656,96,157.264069
-442343,396,157.71287
-488451,327,158.096934
-31785,128,158.251063
